Time,Temperature(℃),Humidity(%RH)
2022-05-15 09:54:00,13.99,63.59
2022-05-15 09:53:00,13.92,63.63
2022-05-15 09:52:00,13.86,63.67
2022-05-15 09:51:00,13.79,63.71
2022-05-15 09:50:00,13.72,63.75
2022-05-15 09:49:00,13.66,63.78
2022-05-15 09:48:00,13.69,63.76
2022-05-15 09:47:00,13.63,63.85
2022-05-15 09:46:00,13.57,63.94
2022-05-15 09:45:00,13.51,64.02
2022-05-15 09:44:00,13.45,64.11
2022-05-15 09:43:00,13.39,64.19
2022-05-15 09:42:00,13.33,64.28
2022-05-15 09:41:00,13.27,64.36
2022-05-15 09:40:00,13.21,64.45
2022-05-15 09:39:00,13.15,64.53
2022-05-15 09:38:00,13.14,64.81
2022-05-15 09:37:00,13.05,64.74
2022-05-15 09:36:00,12.97,64.68
2022-05-15 09:35:00,12.89,64.62
2022-05-15 09:34:00,12.81,64.56
2022-05-15 09:33:00,12.73,64.50
2022-05-15 09:32:00,12.65,64.44
2022-05-15 09:31:00,12.57,64.38
2022-05-15 09:30:00,12.49,64.32
2022-05-15 09:29:00,12.41,64.26
2022-05-15 09:28:00,12.38,64.24
2022-05-15 09:27:00,12.32,64.03
2022-05-15 09:26:00,12.27,63.83
2022-05-15 09:25:00,12.22,63.63
2022-05-15 09:24:00,12.17,63.43
2022-05-15 09:23:00,12.11,63.23
2022-05-15 09:22:00,12.06,63.03
2022-05-15 09:21:00,12.01,62.83
2022-05-15 09:20:00,11.96,62.63
2022-05-15 09:19:00,11.91,62.43
2022-05-15 09:18:00,11.97,62.41
2022-05-15 09:17:00,11.95,62.37
2022-05-15 09:16:00,11.93,62.34
2022-05-15 09:15:00,11.92,62.30
2022-05-15 09:14:00,11.90,62.27
2022-05-15 09:13:00,11.88,62.23
2022-05-15 09:12:00,11.87,62.20
2022-05-15 09:11:00,11.85,62.16
2022-05-15 09:10:00,11.83,62.13
2022-05-15 09:09:00,11.82,62.10
2022-05-15 09:08:00,11.89,62.19
2022-05-15 09:07:00,11.87,62.18
2022-05-15 09:06:00,11.85,62.17
2022-05-15 09:05:00,11.84,62.16
2022-05-15 09:04:00,11.82,62.15
2022-05-15 09:03:00,11.81,62.14
2022-05-15 09:02:00,11.79,62.13
2022-05-15 09:01:00,11.78,62.12
2022-05-15 09:00:00,11.76,62.11
2022-05-15 08:59:00,11.75,62.10
2022-05-15 08:58:00,11.79,62.19
2022-05-15 08:57:00,11.77,62.17
2022-05-15 08:56:00,11.75,62.15
2022-05-15 08:55:00,11.73,62.13
2022-05-15 08:54:00,11.71,62.11
2022-05-15 08:53:00,11.70,62.09
2022-05-15 08:52:00,11.68,62.07
2022-05-15 08:51:00,11.66,62.05
2022-05-15 08:50:00,11.64,62.03
2022-05-15 08:49:00,11.63,62.01
2022-05-15 08:48:00,11.69,62.07
2022-05-15 08:47:00,11.65,62.04
2022-05-15 08:46:00,11.62,62.01
2022-05-15 08:45:00,11.59,61.98
2022-05-15 08:44:00,11.56,61.95
2022-05-15 08:43:00,11.53,61.92
2022-05-15 08:42:00,11.50,61.89
2022-05-15 08:41:00,11.47,61.86
2022-05-15 08:40:00,11.44,61.83
2022-05-15 08:39:00,11.41,61.81
2022-05-15 08:38:00,11.40,61.86
2022-05-15 08:37:00,11.39,61.83
2022-05-15 08:36:00,11.38,61.80
2022-05-15 08:35:00,11.37,61.78
2022-05-15 08:34:00,11.36,61.75
2022-05-15 08:33:00,11.35,61.72
2022-05-15 08:32:00,11.34,61.70
2022-05-15 08:31:00,11.33,61.67
2022-05-15 08:30:00,11.32,61.64
2022-05-15 08:29:00,11.31,61.62
2022-05-15 08:28:00,11.28,61.69
2022-05-15 08:27:00,11.26,61.67
2022-05-15 08:26:00,11.24,61.66
2022-05-15 08:25:00,11.23,61.65
2022-05-15 08:24:00,11.21,61.63
2022-05-15 08:23:00,11.19,61.62
2022-05-15 08:22:00,11.18,61.61
2022-05-15 08:21:00,11.16,61.59
2022-05-15 08:20:00,11.14,61.58
2022-05-15 08:19:00,11.13,61.57
2022-05-15 08:18:00,11.18,61.54
2022-05-15 08:17:00,11.17,61.52
2022-05-15 08:16:00,11.16,61.50
2022-05-15 08:15:00,11.15,61.48
2022-05-15 08:14:00,11.14,61.46
2022-05-15 08:13:00,11.14,61.44
2022-05-15 08:12:00,11.13,61.42
2022-05-15 08:11:00,11.12,61.40
2022-05-15 08:10:00,11.11,61.38
2022-05-15 08:09:00,11.11,61.36
2022-05-15 08:08:00,11.18,61.36
2022-05-15 08:07:00,11.14,61.33
2022-05-15 08:06:00,11.11,61.30
2022-05-15 08:05:00,11.07,61.27
2022-05-15 08:04:00,11.04,61.24
2022-05-15 08:03:00,11.00,61.21
2022-05-15 08:02:00,10.97,61.18
2022-05-15 08:01:00,10.93,61.15
2022-05-15 08:00:00,10.90,61.12
2022-05-15 07:59:00,10.87,61.10
2022-05-15 07:58:00,10.88,61.18
2022-05-15 07:57:00,10.85,61.13
2022-05-15 07:56:00,10.82,61.09
2022-05-15 07:55:00,10.79,61.05
2022-05-15 07:54:00,10.76,61.01
2022-05-15 07:53:00,10.73,60.96
2022-05-15 07:52:00,10.70,60.92
2022-05-15 07:51:00,10.67,60.88
2022-05-15 07:50:00,10.64,60.84
2022-05-15 07:49:00,10.62,60.80
2022-05-15 07:48:00,10.67,60.89
2022-05-15 07:47:00,10.65,60.88
2022-05-15 07:46:00,10.63,60.87
2022-05-15 07:45:00,10.61,60.86
2022-05-15 07:44:00,10.59,60.85
2022-05-15 07:43:00,10.57,60.84
2022-05-15 07:42:00,10.55,60.83
2022-05-15 07:41:00,10.53,60.82
2022-05-15 07:40:00,10.51,60.81
2022-05-15 07:39:00,10.50,60.80
2022-05-15 07:38:00,10.58,60.93
2022-05-15 07:37:00,10.56,60.91
2022-05-15 07:36:00,10.54,60.90
2022-05-15 07:35:00,10.52,60.88
2022-05-15 07:34:00,10.50,60.87
2022-05-15 07:33:00,10.48,60.85
2022-05-15 07:32:00,10.46,60.84
2022-05-15 07:31:00,10.44,60.82
2022-05-15 07:30:00,10.42,60.81
2022-05-15 07:29:00,10.40,60.80
2022-05-15 07:28:00,10.38,60.81
2022-05-15 07:27:00,10.36,60.84
2022-05-15 07:26:00,10.34,60.87
2022-05-15 07:25:00,10.33,60.90
2022-05-15 07:24:00,10.31,60.93
2022-05-15 07:23:00,10.29,60.95
2022-05-15 07:22:00,10.28,60.98
2022-05-15 07:21:00,10.26,61.01
2022-05-15 07:20:00,10.24,61.04
2022-05-15 07:19:00,10.23,61.06
2022-05-15 07:18:00,10.24,60.89
2022-05-15 07:17:00,10.22,60.87
2022-05-15 07:16:00,10.20,60.85
2022-05-15 07:15:00,10.19,60.83
2022-05-15 07:14:00,10.17,60.81
2022-05-15 07:13:00,10.16,60.79
2022-05-15 07:12:00,10.14,60.77
2022-05-15 07:11:00,10.13,60.75
2022-05-15 07:10:00,10.11,60.73
2022-05-15 07:09:00,10.10,60.72
2022-05-15 07:08:00,10.09,60.76
2022-05-15 07:07:00,10.06,60.74
2022-05-15 07:06:00,10.04,60.72
2022-05-15 07:05:00,10.01,60.71
2022-05-15 07:04:00,9.99,60.69
2022-05-15 07:03:00,9.96,60.68
2022-05-15 07:02:00,9.94,60.66
2022-05-15 07:01:00,9.91,60.65
2022-05-15 07:00:00,9.89,60.63
2022-05-15 06:59:00,9.87,60.62
2022-05-15 06:58:00,9.87,60.62
2022-05-15 06:57:00,9.85,60.63
2022-05-15 06:56:00,9.83,60.64
2022-05-15 06:55:00,9.81,60.64
2022-05-15 06:54:00,9.79,60.65
2022-05-15 06:53:00,9.78,60.66
2022-05-15 06:52:00,9.76,60.66
2022-05-15 06:51:00,9.74,60.67
2022-05-15 06:50:00,9.72,60.68
2022-05-15 06:49:00,9.71,60.68
2022-05-15 06:48:00,9.78,60.50
2022-05-15 06:47:00,9.76,60.54
2022-05-15 06:46:00,9.74,60.58
2022-05-15 06:45:00,9.72,60.62
2022-05-15 06:44:00,9.70,60.66
2022-05-15 06:43:00,9.68,60.69
2022-05-15 06:42:00,9.66,60.73
2022-05-15 06:41:00,9.64,60.77
2022-05-15 06:40:00,9.62,60.81
2022-05-15 06:39:00,9.60,60.84
2022-05-15 06:38:00,9.58,60.58
2022-05-15 06:37:00,9.56,60.53
2022-05-15 06:36:00,9.54,60.49
2022-05-15 06:35:00,9.52,60.45
2022-05-15 06:34:00,9.50,60.41
2022-05-15 06:33:00,9.48,60.36
2022-05-15 06:32:00,9.46,60.32
2022-05-15 06:31:00,9.44,60.28
2022-05-15 06:30:00,9.42,60.24
2022-05-15 06:29:00,9.40,60.20
2022-05-15 06:28:00,9.47,60.27
2022-05-15 06:27:00,9.45,60.25
2022-05-15 06:26:00,9.43,60.23
2022-05-15 06:25:00,9.41,60.21
2022-05-15 06:24:00,9.39,60.19
2022-05-15 06:23:00,9.38,60.17
2022-05-15 06:22:00,9.36,60.15
2022-05-15 06:21:00,9.34,60.13
2022-05-15 06:20:00,9.32,60.11
2022-05-15 06:19:00,9.31,60.10
2022-05-15 06:18:00,9.38,60.18
2022-05-15 06:17:00,9.37,60.09
2022-05-15 06:16:00,9.36,60.01
2022-05-15 06:15:00,9.35,59.92
2022-05-15 06:14:00,9.34,59.84
2022-05-15 06:13:00,9.33,59.75
2022-05-15 06:12:00,9.32,59.67
2022-05-15 06:11:00,9.31,59.58
2022-05-15 06:10:00,9.30,59.50
2022-05-15 06:09:00,9.30,59.42
2022-05-15 06:08:00,9.38,59.39
2022-05-15 06:07:00,9.37,59.33
2022-05-15 06:06:00,9.36,59.28
2022-05-15 06:05:00,9.36,59.23
2022-05-15 06:04:00,9.35,59.17
2022-05-15 06:03:00,9.34,59.12
2022-05-15 06:02:00,9.34,59.07
2022-05-15 06:01:00,9.33,59.01
2022-05-15 06:00:00,9.32,58.96
2022-05-15 05:59:00,9.32,58.91
2022-05-15 05:58:00,9.31,58.96
2022-05-15 05:57:00,9.32,58.87
2022-05-15 05:56:00,9.33,58.79
2022-05-15 05:55:00,9.34,58.71
2022-05-15 05:54:00,9.35,58.63
2022-05-15 05:53:00,9.35,58.54
2022-05-15 05:52:00,9.36,58.46
2022-05-15 05:51:00,9.37,58.38
2022-05-15 05:50:00,9.38,58.30
2022-05-15 05:49:00,9.38,58.22
2022-05-15 05:48:00,9.32,58.29
2022-05-15 05:47:00,9.34,58.25
2022-05-15 05:46:00,9.35,58.22
2022-05-15 05:45:00,9.36,58.19
2022-05-15 05:44:00,9.38,58.16
2022-05-15 05:43:00,9.39,58.12
2022-05-15 05:42:00,9.40,58.09
2022-05-15 05:41:00,9.42,58.06
2022-05-15 05:40:00,9.43,58.03
2022-05-15 05:39:00,9.44,58.00
2022-05-15 05:38:00,9.48,58.05
2022-05-15 05:37:00,9.47,58.03
2022-05-15 05:36:00,9.47,58.01
2022-05-15 05:35:00,9.46,57.99
2022-05-15 05:34:00,9.46,57.97
2022-05-15 05:33:00,9.45,57.95
2022-05-15 05:32:00,9.45,57.93
2022-05-15 05:31:00,9.44,57.91
2022-05-15 05:30:00,9.44,57.89
2022-05-15 05:29:00,9.44,57.88
2022-05-15 05:28:00,9.45,57.88
2022-05-15 05:27:00,9.48,57.84
2022-05-15 05:26:00,9.51,57.80
2022-05-15 05:25:00,9.53,57.77
2022-05-15 05:24:00,9.56,57.73
2022-05-15 05:23:00,9.58,57.70
2022-05-15 05:22:00,9.61,57.66
2022-05-15 05:21:00,9.63,57.63
2022-05-15 05:20:00,9.66,57.59
2022-05-15 05:19:00,9.68,57.56
2022-05-15 05:18:00,9.60,57.50
2022-05-15 05:17:00,9.62,57.47
2022-05-15 05:16:00,9.64,57.45
2022-05-15 05:15:00,9.66,57.43
2022-05-15 05:14:00,9.68,57.41
2022-05-15 05:13:00,9.69,57.38
2022-05-15 05:12:00,9.71,57.36
2022-05-15 05:11:00,9.73,57.34
2022-05-15 05:10:00,9.75,57.32
2022-05-15 05:09:00,9.76,57.30
2022-05-15 05:08:00,9.70,57.39
2022-05-15 05:07:00,9.72,57.33
2022-05-15 05:06:00,9.74,57.28
2022-05-15 05:05:00,9.76,57.22
2022-05-15 05:04:00,9.78,57.17
2022-05-15 05:03:00,9.80,57.11
2022-05-15 05:02:00,9.82,57.06
2022-05-15 05:01:00,9.84,57.00
2022-05-15 05:00:00,9.86,56.95
2022-05-15 04:59:00,9.88,56.90
2022-05-15 04:58:00,9.81,56.98
2022-05-15 04:57:00,9.83,56.96
2022-05-15 04:56:00,9.84,56.94
2022-05-15 04:55:00,9.85,56.92
2022-05-15 04:54:00,9.86,56.90
2022-05-15 04:53:00,9.87,56.88
2022-05-15 04:52:00,9.88,56.86
2022-05-15 04:51:00,9.89,56.84
2022-05-15 04:50:00,9.90,56.82
2022-05-15 04:49:00,9.91,56.81
2022-05-15 04:48:00,9.94,56.80
2022-05-15 04:47:00,9.96,56.81
2022-05-15 04:46:00,9.98,56.82
2022-05-15 04:45:00,9.99,56.83
2022-05-15 04:44:00,10.01,56.84
2022-05-15 04:43:00,10.02,56.85
2022-05-15 04:42:00,10.04,56.86
2022-05-15 04:41:00,10.05,56.87
2022-05-15 04:40:00,10.07,56.88
2022-05-15 04:39:00,10.08,56.89
2022-05-15 04:38:00,10.03,56.82
2022-05-15 04:37:00,10.06,56.84
2022-05-15 04:36:00,10.09,56.86
2022-05-15 04:35:00,10.11,56.87
2022-05-15 04:34:00,10.14,56.89
2022-05-15 04:33:00,10.17,56.90
2022-05-15 04:32:00,10.19,56.92
2022-05-15 04:31:00,10.22,56.93
2022-05-15 04:30:00,10.25,56.95
2022-05-15 04:29:00,10.27,56.96
2022-05-15 04:28:00,10.20,56.99
2022-05-15 04:27:00,10.22,56.96
2022-05-15 04:26:00,10.23,56.94
2022-05-15 04:25:00,10.24,56.92
2022-05-15 04:24:00,10.26,56.90
2022-05-15 04:23:00,10.27,56.88
2022-05-15 04:22:00,10.28,56.86
2022-05-15 04:21:00,10.30,56.84
2022-05-15 04:20:00,10.31,56.82
2022-05-15 04:19:00,10.32,56.80
2022-05-15 04:18:00,10.32,56.85
2022-05-15 04:17:00,10.33,56.81
2022-05-15 04:16:00,10.34,56.77
2022-05-15 04:15:00,10.34,56.74
2022-05-15 04:14:00,10.35,56.70
2022-05-15 04:13:00,10.36,56.66
2022-05-15 04:12:00,10.36,56.63
2022-05-15 04:11:00,10.37,56.59
2022-05-15 04:10:00,10.38,56.55
2022-05-15 04:09:00,10.38,56.52
2022-05-15 04:08:00,10.41,56.57
2022-05-15 04:07:00,10.43,56.55
2022-05-15 04:06:00,10.45,56.53
2022-05-15 04:05:00,10.47,56.51
2022-05-15 04:04:00,10.49,56.49
2022-05-15 04:03:00,10.51,56.48
2022-05-15 04:02:00,10.53,56.46
2022-05-15 04:01:00,10.55,56.44
2022-05-15 04:00:00,10.57,56.42
2022-05-15 03:59:00,10.58,56.41
2022-05-15 03:58:00,10.60,56.32
2022-05-15 03:57:00,10.62,56.30
2022-05-15 03:56:00,10.64,56.29
2022-05-15 03:55:00,10.66,56.28
2022-05-15 03:54:00,10.68,56.26
2022-05-15 03:53:00,10.70,56.25
2022-05-15 03:52:00,10.72,56.24
2022-05-15 03:51:00,10.74,56.22
2022-05-15 03:50:00,10.76,56.21
2022-05-15 03:49:00,10.77,56.20
2022-05-15 03:48:00,10.70,56.22
2022-05-15 03:47:00,10.72,56.19
2022-05-15 03:46:00,10.74,56.17
2022-05-15 03:45:00,10.76,56.15
2022-05-15 03:44:00,10.78,56.13
2022-05-15 03:43:00,10.80,56.11
2022-05-15 03:42:00,10.82,56.09
2022-05-15 03:41:00,10.84,56.07
2022-05-15 03:40:00,10.86,56.05
2022-05-15 03:39:00,10.88,56.03
2022-05-15 03:38:00,10.85,56.07
2022-05-15 03:37:00,10.87,56.06
2022-05-15 03:36:00,10.88,56.05
2022-05-15 03:35:00,10.90,56.04
2022-05-15 03:34:00,10.91,56.03
2022-05-15 03:33:00,10.93,56.03
2022-05-15 03:32:00,10.94,56.02
2022-05-15 03:31:00,10.96,56.01
2022-05-15 03:30:00,10.97,56.00
2022-05-15 03:29:00,10.98,56.00
2022-05-15 03:28:00,10.90,56.01
2022-05-15 03:27:00,10.94,56.02
2022-05-15 03:26:00,10.97,56.03
2022-05-15 03:25:00,11.00,56.04
2022-05-15 03:24:00,11.04,56.05
2022-05-15 03:23:00,11.07,56.06
2022-05-15 03:22:00,11.10,56.07
2022-05-15 03:21:00,11.14,56.08
2022-05-15 03:20:00,11.17,56.09
2022-05-15 03:19:00,11.20,56.09
2022-05-15 03:18:00,11.20,56.08
2022-05-15 03:17:00,11.22,56.06
2022-05-15 03:16:00,11.24,56.04
2022-05-15 03:15:00,11.25,56.02
2022-05-15 03:14:00,11.27,56.00
2022-05-15 03:13:00,11.29,55.98
2022-05-15 03:12:00,11.30,55.96
2022-05-15 03:11:00,11.32,55.94
2022-05-15 03:10:00,11.34,55.92
2022-05-15 03:09:00,11.35,55.90
2022-05-15 03:08:00,11.30,55.99
2022-05-15 03:07:00,11.32,55.97
2022-05-15 03:06:00,11.34,55.95
2022-05-15 03:05:00,11.36,55.94
2022-05-15 03:04:00,11.38,55.92
2022-05-15 03:03:00,11.40,55.90
2022-05-15 03:02:00,11.42,55.89
2022-05-15 03:01:00,11.44,55.87
2022-05-15 03:00:00,11.46,55.85
2022-05-15 02:59:00,11.48,55.84
2022-05-15 02:58:00,11.51,55.89
2022-05-15 02:57:00,11.52,55.88
2022-05-15 02:56:00,11.53,55.87
2022-05-15 02:55:00,11.54,55.86
2022-05-15 02:54:00,11.55,55.85
2022-05-15 02:53:00,11.56,55.84
2022-05-15 02:52:00,11.57,55.83
2022-05-15 02:51:00,11.58,55.82
2022-05-15 02:50:00,11.59,55.81
2022-05-15 02:49:00,11.59,55.80
2022-05-15 02:48:00,11.68,55.88
2022-05-15 02:47:00,11.69,55.87
2022-05-15 02:46:00,11.70,55.86
2022-05-15 02:45:00,11.71,55.85
2022-05-15 02:44:00,11.72,55.84
2022-05-15 02:43:00,11.73,55.84
2022-05-15 02:42:00,11.74,55.83
2022-05-15 02:41:00,11.75,55.82
2022-05-15 02:40:00,11.76,55.81
2022-05-15 02:39:00,11.77,55.81
2022-05-15 02:38:00,11.83,55.88
2022-05-15 02:37:00,11.84,55.84
2022-05-15 02:36:00,11.84,55.81
2022-05-15 02:35:00,11.85,55.77
2022-05-15 02:34:00,11.85,55.74
2022-05-15 02:33:00,11.86,55.70
2022-05-15 02:32:00,11.86,55.67
2022-05-15 02:31:00,11.87,55.63
2022-05-15 02:30:00,11.87,55.60
2022-05-15 02:29:00,11.87,55.57
2022-05-15 02:28:00,11.87,55.59
2022-05-15 02:27:00,11.90,55.56
2022-05-15 02:26:00,11.92,55.53
2022-05-15 02:25:00,11.94,55.50
2022-05-15 02:24:00,11.96,55.47
2022-05-15 02:23:00,11.99,55.44
2022-05-15 02:22:00,12.01,55.41
2022-05-15 02:21:00,12.03,55.38
2022-05-15 02:20:00,12.05,55.35
2022-05-15 02:19:00,12.07,55.33
2022-05-15 02:18:00,12.04,55.38
2022-05-15 02:17:00,12.07,55.35
2022-05-15 02:16:00,12.10,55.33
2022-05-15 02:15:00,12.12,55.30
2022-05-15 02:14:00,12.15,55.28
2022-05-15 02:13:00,12.18,55.25
2022-05-15 02:12:00,12.20,55.23
2022-05-15 02:11:00,12.23,55.20
2022-05-15 02:10:00,12.26,55.18
2022-05-15 02:09:00,12.28,55.16
2022-05-15 02:08:00,12.20,55.28
2022-05-15 02:07:00,12.22,55.24
2022-05-15 02:06:00,12.24,55.21
2022-05-15 02:05:00,12.25,55.18
2022-05-15 02:04:00,12.27,55.15
2022-05-15 02:03:00,12.28,55.12
2022-05-15 02:02:00,12.30,55.09
2022-05-15 02:01:00,12.31,55.06
2022-05-15 02:00:00,12.33,55.03
2022-05-15 01:59:00,12.34,55.00
2022-05-15 01:58:00,12.33,55.09
2022-05-15 01:57:00,12.35,55.05
2022-05-15 01:56:00,12.37,55.02
2022-05-15 01:55:00,12.39,54.99
2022-05-15 01:54:00,12.41,54.96
2022-05-15 01:53:00,12.42,54.93
2022-05-15 01:52:00,12.44,54.90
2022-05-15 01:51:00,12.46,54.87
2022-05-15 01:50:00,12.48,54.84
2022-05-15 01:49:00,12.49,54.81
2022-05-15 01:48:00,12.48,54.79
2022-05-15 01:47:00,12.51,54.76
2022-05-15 01:46:00,12.53,54.74
2022-05-15 01:45:00,12.55,54.72
2022-05-15 01:44:00,12.57,54.70
2022-05-15 01:43:00,12.60,54.68
2022-05-15 01:42:00,12.62,54.66
2022-05-15 01:41:00,12.64,54.64
2022-05-15 01:40:00,12.66,54.62
2022-05-15 01:39:00,12.68,54.60
2022-05-15 01:38:00,12.64,54.65
2022-05-15 01:37:00,12.67,54.61
2022-05-15 01:36:00,12.69,54.58
2022-05-15 01:35:00,12.71,54.54
2022-05-15 01:34:00,12.73,54.51
2022-05-15 01:33:00,12.75,54.47
2022-05-15 01:32:00,12.77,54.44
2022-05-15 01:31:00,12.79,54.40
2022-05-15 01:30:00,12.81,54.37
2022-05-15 01:29:00,12.83,54.34
2022-05-15 01:28:00,12.81,54.39
2022-05-15 01:27:00,12.83,54.35
2022-05-15 01:26:00,12.85,54.32
2022-05-15 01:25:00,12.86,54.29
2022-05-15 01:24:00,12.88,54.26
2022-05-15 01:23:00,12.89,54.22
2022-05-15 01:22:00,12.91,54.19
2022-05-15 01:21:00,12.92,54.16
2022-05-15 01:20:00,12.94,54.13
2022-05-15 01:19:00,12.95,54.10
2022-05-15 01:18:00,12.94,54.18
2022-05-15 01:17:00,12.96,54.15
2022-05-15 01:16:00,12.98,54.13
2022-05-15 01:15:00,12.99,54.11
2022-05-15 01:14:00,13.01,54.09
2022-05-15 01:13:00,13.02,54.07
2022-05-15 01:12:00,13.04,54.05
2022-05-15 01:11:00,13.05,54.03
2022-05-15 01:10:00,13.07,54.01
2022-05-15 01:09:00,13.08,53.99
2022-05-15 01:08:00,13.02,53.91
2022-05-15 01:07:00,13.05,53.93
2022-05-15 01:06:00,13.08,53.95
2022-05-15 01:05:00,13.11,53.97
2022-05-15 01:04:00,13.14,53.99
2022-05-15 01:03:00,13.17,54.01
2022-05-15 01:02:00,13.20,54.03
2022-05-15 01:01:00,13.23,54.05
2022-05-15 01:00:00,13.26,54.07
2022-05-15 00:59:00,13.28,54.09
2022-05-15 00:58:00,13.34,53.91
2022-05-15 00:57:00,13.35,53.87
2022-05-15 00:56:00,13.36,53.84
2022-05-15 00:55:00,13.36,53.80
2022-05-15 00:54:00,13.37,53.77
2022-05-15 00:53:00,13.37,53.73
2022-05-15 00:52:00,13.38,53.70
2022-05-15 00:51:00,13.38,53.66
2022-05-15 00:50:00,13.39,53.63
2022-05-15 00:49:00,13.39,53.60
2022-05-15 00:48:00,13.39,53.69
2022-05-15 00:47:00,13.42,53.67
2022-05-15 00:46:00,13.44,53.65
2022-05-15 00:45:00,13.46,53.63
2022-05-15 00:44:00,13.48,53.61
2022-05-15 00:43:00,13.51,53.59
2022-05-15 00:42:00,13.53,53.57
2022-05-15 00:41:00,13.55,53.55
2022-05-15 00:40:00,13.57,53.53
2022-05-15 00:39:00,13.59,53.52
2022-05-15 00:38:00,13.50,53.67
2022-05-15 00:37:00,13.53,53.63
2022-05-15 00:36:00,13.56,53.59
2022-05-15 00:35:00,13.58,53.55
2022-05-15 00:34:00,13.61,53.51
2022-05-15 00:33:00,13.64,53.47
2022-05-15 00:32:00,13.66,53.43
2022-05-15 00:31:00,13.69,53.39
2022-05-15 00:30:00,13.72,53.35
2022-05-15 00:29:00,13.74,53.32
2022-05-15 00:28:00,13.74,53.29
2022-05-15 00:27:00,13.76,53.25
2022-05-15 00:26:00,13.78,53.22
2022-05-15 00:25:00,13.79,53.19
